# halo-id  galaxy-id  within-r200?
   1  287625  1
   1  173758  1
   1  172024  1
   1  151184  1
   1  172406  1
   1   62160  1
   1   78567  1
   1  162063  1
   1   51167  1
   1  456212  1
   1  422756  1
   1   50286  1
   1   87353  1
   1  497833  1
   1  264353  1
   1  220743  1
   1  289216  1
   1   60867  1
   1  302301  1
   1  256913  1
   1   83660  1
   1  257726  1
   1  357835  1
   1  370085  1
   1  271296  1
   1  288761  1
   1  121130  1
   1  260389  1
   1  324301  1
   1   57537  1
   1  468001  1
   1  497659  1
   1  251633  1
   1  424896  1
   1  449814  1
   1   78137  1
   1  156826  1
   1  200345  1
   1  275044  1
   1  467811  1
   1  396185  1
   1  120180  1
   1  208542  1
   1  481615  1
   1  150742  1
   1  283455  1
   1    1452  1
   1  204617  1
   1  113077  1
   1  126054  1
   1  455927  1
   1  444818  1
   1    5046  1
   1  234050  1
   1  417608  1
   1  461445  1
   1  264439  1
   1  302182  1
   1  111046  1
   1    2705  1
   1   86205  1
   1  476143  1
   1  198163  1
   1  287222  1
   1   76989  1
   1   59305  1
   1   18776  1
   1  458239  1
   1  205491  1
   1  468248  1
   1  192006  1
   1  352990  1
   1  327008  1
   1  274460  1
   1  483158  1
   1  421689  1
   1  406131  1
   1  199984  1
   1  187379  1
   1  462857  1
   1  458136  1
   1   73723  1
   1   52667  1
   1  289471  1
   1  117706  1
   1  399293  1
   1   35222  1
   1  138745  1
   1  450687  1
   1  165244  1
   1  261036  1
   1   30351  1
   1   93542  1
   1  228371  1
   1  239138  1
   1  328494  1
   1  364944  1
   1  121771  1
   1  272309  1
   1  490556  1
   1  254366  1
   1  345537  1
   1  443112  1
   1  413846  1
   1   74044  1
   1  200482  1
   1  254928  1
   1  457070  1
   1  483537  1
   1  284394  1
   1  374618  1
   1  318821  1
   1   26700  1
   1   36208  1
   1  360579  1
   1  426058  1
   1  476815  1
   1  453041  1
   1  343343  1
   1  154827  1
   1  400828  1
   1   49945  1
   1  488304  1
   1  494495  1
   1  108069  1
   1  386878  1
   1   12683  1
   1  294024  1
   1  442329  1
   1  229761  1
   1  141929  1
   1  259031  1
   1  308147  1
   1  100919  1
   1  318540  1
   1  303390  1
   1  413983  1
   1  171804  1
   1  284475  1
   1  275000  1
   1  404002  1
   1   11730  1
   1   86725  1
   1  121716  1
   1  459251  1
   1  476320  1
   1   53710  1
   1  495317  1
   1  223083  1
   1  346170  1
   1  464623  1
   1   61753  1
   1  155228  1
   1  368407  1
   1  232342  1
   1  232204  1
   1  376506  1
   1  456605  1
   1  160395  1
   1  305936  1
   1   88448  1
   1  494490  1
   1  267750  1
   1  184845  1
   1  356927  1
   1  220445  1
   1  490015  1
   1  247652  1
   1  391597  1
   1   51638  1
   1  281382  1
   1  393545  1
   1  365074  1
   1  419296  1
   1  376162  1
   1  328706  1
   1  259782  1
   1  130215  1
   1   78306  1
   1   88852  1
   1  169549  1
   1  188013  1
   1  210120  1
   1  275786  1
   1   17728  1
   1  206556  1
   1  172045  1
   1  126645  1
   1  389202  1
   1   15012  1
   1  475229  1
   1  448226  1
   1  448532  1
   1  351754  1
   1  298091  1
   1  265691  1
   1  197828  1
   1  246144  1
   1  472003  1
   1   23710  1
   1  468188  1
   1  413201  1
   1  289949  1
   1  178483  1
   1   76684  1
   1  441449  1
   1  444358  1
   1  373249  1
   1  346838  1
   1  211561  1
   1  262216  1
   1  392325  1
   1  355065  1
   1  168994  1
   1  493615  1
   1  204201  1
   1  271145  1
   1  113507  1
   1  419618  1
   1   24312  1
   1  113220  1
   1  481722  1
   1   87163  1
   1  150138  1
   1  297379  1
   1  465865  1
   1   97555  1
   1  472390  1
   1  329986  1
   1  185115  1
   1  179910  1
   1  274081  1
