# halo-id  ra  dec  vres  m200  vdisp200  r200  N200  M200err(stat)  M200err(syst)  Ngal
   1  0.860  0.136  40870     -1      -1   -1    -1    -1    -1   285
   2  1.209  0.280  42316  2.1e+14   592  1.2    61  0.29  0.01   255
   3  0.411  0.154  36601  3.1e+14   667  1.3   144  0.14  0.01   350
   4  1.067  0.895  19227  3.2e+14   670  1.3   132  0.14  0.01   173
   5  1.432  1.124  49682  9.7e+14   987  1.9   430  0.05  0.00   781
   6  0.799  1.453  36577  8.1e+13   426  0.8    31  0.41  0.01    42
   7  0.289  0.552  35443  3.4e+14   692  1.4   126  0.16  0.01   280
   8  1.267  0.600  32562  2.0e+14   575  1.1   120  0.15  0.01   302
   9  0.597  0.036  41854  3.7e+14   711  1.4   137  0.13  0.01   433
  10  1.171  0.261  49588  5.0e+13   364  0.7    26  0.12  0.01   246
  11  0.120  1.240  19445  2.3e+14   599  1.2   104  0.10  0.01   147
  12  1.388  0.891  45366  1.6e+14   542  1.1    58  0.38  0.01   180
  13  0.461  0.409  40021  6.7e+13   400  0.8    39  0.28  0.01   217
  14  0.514  1.267  33748  4.5e+13   350  0.7    18  0.45  0.01    49
  15  1.373  0.637  31613  2.4e+14   616  1.2    87  0.15  0.01   196
  16  0.811  0.651  31974  5.2e+13   366  0.7    34  0.25  0.01   134
  17  1.195  0.524  32491  4.8e+13   356  0.7    34  0.25  0.01   198
  18  0.527  0.496  32268  5.6e+14   811  1.6    71  0.09  0.01   197
  19  0.002  0.694  46876  2.1e+13   272  0.5    13  0.85  0.01   110
  20  0.912  0.559  30726  2.0e+14   575  1.1    69  0.34  0.01   149
  21  0.815  0.045  37270     -1      -1   -1    -1    -1    -1    95
  22  0.247  0.454  33384  1.8e+14   555  1.1    45  0.26  0.01   161
  23  0.662  0.811  35470  2.4e+14   609  1.2    97  0.16  0.01   283
  24  0.256  0.278  45499  2.3e+14   605  1.2    80  0.13  0.01   593
  25  1.421  1.228  28389  1.5e+14   523  1.0    44  0.43  0.01    84
  26  1.415  1.245  37960  5.1e+12   169  0.3    10  1.21  0.02    48
  27  0.421  0.112  48506  3.1e+14   670  1.3   101  0.05  0.01   374
  28  0.132  0.536  46562  2.9e+13   303  0.6    11  0.70  0.01   195
  29  0.239  0.189  41020  1.4e+14   516  1.0    75  0.11  0.01   510
  30  1.024  0.560  41172  5.4e+13   372  0.7    34  0.17  0.01   221
  31  1.240  0.904  43585  2.2e+14   599  1.2    86  0.21  0.01   244
  32  0.054  1.345  19647  4.1e+14   730  1.5   103  0.09  0.01   117
  33  0.497  0.288  43710  1.0e+14   458  0.9    53  0.13  0.01   405
  34  0.745  0.515  41420  5.2e+13   368  0.7    33  0.18  0.01   259
  35  1.213  0.320  48366  6.9e+14   879  1.7   277  0.07  0.01   592
  36  0.541  0.251  34788  1.4e+14   513  1.0    73  0.26  0.01   245
  37  0.385  0.639  32327  1.3e+14   499  1.0    66  0.16  0.01   174
  38  0.740  1.246  29439  3.3e+13   314  0.6    22  0.33  0.01   104
  39  0.115  1.448  33604  1.9e+14   565  1.1    72  0.21  0.01    99
  40  0.787  0.030  36332  6.1e+13   387  0.8    57  0.26  0.01   245
  41  0.850  1.095  32616  1.6e+14   536  1.1    51  0.26  0.01   184
  42  0.841  1.490  49155  1.2e+14   488  0.9    44  0.25  0.01    93
  43  0.261  0.576  48953  1.8e+14   563  1.1    63  0.15  0.01   197
  44  1.161  0.355  49053  4.4e+13   350  0.7    39  0.23  0.01   294
  45  0.785  0.943  24197  1.0e+14   456  0.9    55  0.28  0.01   108
  46  0.290  0.508  35668  3.3e+13   314  0.6    24  0.33  0.01   109
  47  1.218  0.327  40851  3.3e+14   682  1.3   113  0.13  0.01   296
  48  0.059  0.353  29999  1.3e+14   498  1.0    24  0.18  0.01   178
  49  1.247  1.033  35138  6.1e+13   386  0.8    34  0.43  0.01    87
  50  0.027  0.457  32740  6.0e+13   384  0.8    37  0.29  0.01   237
  51  1.519  0.108  43754  4.9e+13   361  0.7    22  0.24  0.01   221
  52  1.005  0.931  21314  3.0e+14   656  1.3   108  0.08  0.01   166
  53  1.392  0.108  44988  2.3e+14   606  1.2    70  0.31  0.01   225
  54  0.883  0.068  34062  1.6e+14   535  1.1    72  0.33  0.01   180
