# halo-id  ra  dec  vres  m200  vdisp200  r200  Ngal  M200err(stat)  M200err(syst)  N200
   1  0.866  0.429  24514  1.0e+15   985  2.0   465  0.06  0.00   308
   2  0.204  0.038  43334  8.6e+14   944  1.8   930  0.04  0.00   272
   3  0.310  0.970  41549  1.2e+15  1057  2.1   397  0.06  0.00   213
   4  0.776  0.462  25296  1.2e+15  1049  2.1   464  0.05  0.00   303
   5  0.163  0.065  44081  2.4e+14   618  1.2   320  0.18  0.01   100
   6  0.293  0.209  29489  5.3e+14   797  1.6   399  0.13  0.01   141
   7  0.720  0.692  32818  1.1e+15  1011  2.0   323  0.10  0.00   149
   8  0.001  0.639  40132  5.0e+14   786  1.5   304  0.13  0.01   123
   9  0.750  0.101  39399  3.6e+14   701  1.4   474  0.16  0.01   110
  10  0.530  0.783  43897  2.4e+14   619  1.2   290  0.15  0.01    97
  11  0.706  0.474  16148  4.6e+14   758  1.5   207  0.09  0.01   136
  12  0.190  0.894  25092  5.6e+14   813  1.6   178  0.10  0.01   114
  13  0.624  0.392  34260  4.9e+14   779  1.5   305  0.15  0.01   132
  14  0.634  0.011  14238  4.1e+14   728  1.5   212  0.11  0.01   149
  15  0.773  0.464  25271  1.4e+15  1098  2.2   451  0.06  0.00   300
  16  0.652  0.082  33467  6.9e+14   872  1.7   324  0.12  0.01   113
  17  0.094  0.700  24679  5.5e+14   805  1.6   167  0.11  0.01   107
  18  0.760  0.722  40342  4.6e+14   762  1.5   237  0.12  0.01    81
  19  0.786  0.053  35089  3.3e+14   679  1.3   396  0.16  0.01   109
  20  0.443  0.300  40097  3.8e+14   718  1.4   508  0.16  0.01   103
  21  0.174  0.141  24539  5.9e+14   825  1.6   391  0.10  0.01   119
  22  0.146  0.092  43969  1.8e+14   562  1.1   305  0.10  0.01    78
  23  0.608  0.874  26415  1.2e+15  1043  2.1   341  0.07  0.00   183
  24  0.060  0.054  27414  5.3e+14   799  1.6   284  0.15  0.01   111
  25  0.818  0.181  25820  2.7e+14   631  1.3   210  0.22  0.01    82
  26  0.970  0.908  11501  5.5e+14   800  1.6    98  0.09  0.01    92
  27  0.299  1.030  23181  4.2e+14   736  1.5   152  0.12  0.01    95
  28  0.664  0.621  42133  5.0e+14   789  1.5   287  0.15  0.01   100
  29  0.278  0.125  38936  4.5e+14   761  1.5   270  0.15  0.01    96
  30  1.001  0.923  29382  3.8e+14   712  1.4   201  0.13  0.01   105
  31  0.860  0.402  24538  3.9e+14   717  1.4   253  0.13  0.01   100
  32  0.717  0.453  24900  4.5e+14   755  1.5   251  0.08  0.01    96
  33  0.738  0.576  32563  4.7e+14   768  1.5   308  0.17  0.01   106
  34  0.206  0.044  43333  3.8e+14   716  1.4   918  0.05  0.01   100
  35  0.219  0.623  38293  6.0e+14   834  1.6   258  0.21  0.01    80
  36  0.237  0.826  36691  4.7e+14   768  1.5   289  0.16  0.01   119
  37  0.576  0.670  29633  4.4e+14   747  1.5   277  0.17  0.01   119
  38  0.900  0.306  37973  5.2e+14   797  1.6   446  0.16  0.01   102
  39  0.044  0.668   5094  6.9e+14   861  1.8   111  0.09  0.01   111
  40  0.901  0.051  42539  3.9e+14   724  1.4   475  0.16  0.01    94
  41  0.458  0.813  38358  4.1e+14   734  1.4   293  0.17  0.01    84
  42  0.743  0.436  24975  3.3e+14   676  1.4   226  0.08  0.01    82
  43  1.001  0.175  32212  3.6e+14   698  1.4   355  0.11  0.01    88
  44  0.414  0.583  39363  3.9e+14   720  1.4   257  0.18  0.01    94
  45  0.172  0.100  39498     -1      -1   -1   322    -1    -1    -1
  46  0.599  0.443  35054  3.6e+14   703  1.4   372  0.20  0.01    98
  47  0.820  0.732  33299  4.7e+14   766  1.5   256  0.24  0.01    87
  48  0.327  0.134  30815  4.1e+14   734  1.5   294  0.10  0.01    76
  49  0.778  1.007  19819  3.2e+14   671  1.4   133  0.15  0.01    81
  50  0.122  0.341  25711  4.9e+14   776  1.5   189  0.13  0.01    65
  51  0.857  0.362  15424  3.5e+14   691  1.4   139  0.07  0.01    88
  52  0.454  0.405  43262  3.0e+14   664  1.3   530  0.14  0.01    91
  53  0.409  0.490  40995  4.4e+14   754  1.5   390  0.12  0.01    89
  54  0.099  0.726  40786  4.9e+14   782  1.5   361  0.17  0.01   111
  55  0.990  0.876  41264  6.2e+14   843  1.6   306  0.09  0.01    82
  56  0.605  0.082  22072  3.0e+14   660  1.3   154  0.26  0.01    82
  57  0.670  0.581  42651  3.6e+14   704  1.4   294  0.12  0.01    75
  58  0.070  0.627  43825  3.6e+14   708  1.4   178  0.15  0.01    77
  59  0.039  0.407  39479  2.7e+14   638  1.3   556  0.10  0.01    87
  60  0.988  0.148  39491  5.8e+14   826  1.6   339  0.13  0.01   100
  61  0.295  0.379  37978  3.1e+14   668  1.3   373  0.18  0.01    78
  62  0.740  0.254  22953  2.8e+14   640  1.3   227  0.33  0.01   106
  63  0.541  0.266  43303  3.0e+14   660  1.3   483  0.06  0.01    71
  64  0.605  0.465  35222  3.4e+14   686  1.4   335  0.21  0.01    89
  65  0.124  0.154  34939  1.8e+14   557  1.1   199  0.34  0.01    44
  66  0.532  0.957  41701  4.6e+14   767  1.5   224  0.12  0.01    66
  67  0.210  0.537  21843  3.7e+14   703  1.4   175  0.14  0.01    77
  68  0.932  0.738  38614  1.7e+14   545  1.1   162  0.23  0.01    67
  69  0.012  0.023  40840  3.0e+14   662  1.3   372  0.12  0.01    83
  70  0.157  0.552  18976  3.2e+14   670  1.4   168  0.12  0.01    74
  71  0.492  0.130  30759  4.4e+14   749  1.5   308  0.22  0.01    71
  72  0.739  0.707  43114  2.6e+14   635  1.2   366  0.11  0.01    80
  73  0.174  0.093  39331  8.8e+14   950  1.9   430  0.08  0.00   113
  74  0.610  0.956  39246  3.0e+14   658  1.3   196  0.13  0.01    77
  75  0.681  0.383  33549  4.0e+14   730  1.4   193  0.14  0.01    74
  76  0.933  0.615  34955  4.8e+14   773  1.5   324  0.12  0.01    87
  77  0.975  0.471  14577  3.2e+14   672  1.4   116  0.16  0.01    64
  78  0.911  0.845  27321  3.6e+14   701  1.4   125  0.26  0.01    68
  79  0.153  0.727  27566  1.8e+14   551  1.1   258  0.36  0.01    90
  80  0.569  0.450  22356     -1      -1   -1   137    -1    -1    -1
  81  0.578  0.987  27398  2.8e+14   639  1.3   145  0.20  0.01    82
  82  0.224  0.167  30283  3.0e+14   659  1.3   222  0.15  0.01    63
  83  0.298  0.589  39130  2.5e+14   626  1.2   270  0.51  0.01    74
  84  0.697  0.764  32071  2.7e+14   638  1.3   207  0.20  0.01    65
  85  0.279  0.568  35070  3.6e+14   704  1.4   281  0.15  0.01    58
  86  0.002  0.001  29634  2.2e+14   590  1.2    95  0.25  0.01    67
  87  0.285  0.382  38133  2.9e+14   654  1.3   360  0.17  0.01    62
  88  0.261  0.493  43583  1.7e+14   543  1.1   291  0.11  0.01    52
  89  0.097  0.229  31067  2.0e+14   572  1.1   218  0.24  0.01    54
  90  0.063  0.527  43936  1.2e+14   481  0.9   262  0.19  0.01    62
  91  0.483  0.440  10364  3.5e+14   689  1.4    95  0.23  0.01    78
  92  0.217  0.709  36802  2.4e+14   609  1.2   307  0.16  0.01    58
  93  1.019  0.342  22423  3.0e+14   658  1.3   130  0.17  0.01    68
  94  0.066  0.575  36484  3.7e+14   711  1.4   394  0.11  0.01   108
  95  0.515  0.798  32775  4.7e+14   768  1.5   230  0.23  0.01    60
  96  1.014  0.775   8664  1.4e+14   504  1.0    98  0.35  0.01    61
  97  0.820  0.142  35326  6.0e+14   834  1.6   285  0.34  0.01     7
  98  0.626  0.966  27286  9.4e+13   446  0.9   125  0.31  0.01    44
  99  0.009  0.590  34205  2.9e+14   651  1.3   186  0.27  0.01    61
 100  0.797  0.144  37921  3.3e+14   684  1.3   254  0.12  0.01    72
 101  0.666  0.886  26877  3.2e+14   673  1.3   139  0.26  0.01    64
 102  0.084  0.027  27967  4.4e+14   748  1.5   185  0.12  0.01    95
