# halo-id  m200  ra  dec  z  vdisp
1  906069999703932.875  0.866308346  0.428616422  0.081666  1092.18
2  965470001078600.250  0.203511517  0.037627518  0.143597   893.54
3  741129999469325.750  0.309928849  0.970280804  0.139311   963.37
4  480110000229834.375  0.776368127  0.462072342  0.082966   840.27
5  445789999874825.812  0.162832884  0.065375862  0.148124   597.39
6  416930000284487.438  0.292412533  0.208783354  0.098171   801.87
7  430539999523944.500  0.720482509  0.691532349  0.110195   885.01
8  353839999705429.875  0.000000000  0.638565516  0.134051   871.29
9  350539999737053.812  0.750285158  0.100908357  0.130501   787.37
10  366520000090322.625  0.529667285  0.782588375  0.146603   644.96
11  356769999690113.562  0.705571429  0.474479346  0.053890   780.63
12  337590000318668.312  0.190173222  0.894145039  0.083322   818.91
13  350580000247087.375  0.623534705  0.392105373  0.114739   759.61
14  334549999834032.500  0.633977290  0.011399321  0.047820   766.35
15  360709999605206.188  0.772859020  0.463858546  0.087346   811.84
16  351250000070253.812  0.651581431  0.082358719  0.111392   685.39
17  337380000083086.000  0.094108467  0.699668673  0.082590   898.80
18  338540000102194.312  0.759920388  0.721559290  0.134248   792.14
19  286830000057421.438  0.785649805  0.053214653  0.116725   832.21
20  284500000176159.562  0.443497466  0.299678810  0.132961   589.64
21  289539999957088.312  0.173556448  0.141140099  0.087140   916.73
22  289260000088816.375  0.146328055  0.092474630  0.147028   604.08
23  266740000100693.812  0.608302571  0.873966973  0.089191   683.13
24  266740000100693.812  0.060451416  0.054256073  0.091924   697.52
25  270250000233136.062  0.817936267  0.180853269  0.086846   740.02
26  270289999830055.000  0.970361770  0.907561507  0.035718   763.41
27  292009999803368.188  0.298521726  1.029887480  0.076698   812.54
28  328689999702866.688  0.664158675  0.620776736  0.138509   743.40
29  291370000024200.938  0.277840325  0.125182257  0.130483   682.43
30  307730000115596.938  1.001447096  0.922519049  0.098189   728.59
31  280969999695327.938  0.860008423  0.401692502  0.081543   710.71
32  277440000130247.031  0.716716368  0.452995652  0.081699   758.85
33  283620000204696.062  0.737773574  0.575898649  0.108299   708.61
34  282589999723737.188  0.206438050  0.043604398  0.144983   707.55
35  292880000085325.938  0.218717803  0.622995224  0.127874   680.52
36  274260000206519.062  0.236611878  0.825832398  0.122550   782.00
37  271790000222308.719  0.576087144  0.670409973  0.095540   705.96
38  304739999851073.000  0.899914679  0.306351971  0.127352   875.98
39  289650000109995.312  0.043678680  0.667553934  0.017033   766.59
40  284239999685014.250  0.900685852  0.051356139  0.142589   778.87
41  276410000029623.156  0.458345400  0.813144448  0.127769   765.82
42  277320000302204.969  0.743258410  0.435769898  0.083582   714.29
43  263049999919335.031  1.000902902  0.175015980  0.108993   815.01
44  276969999991224.438  0.414453441  0.582564916  0.131435   713.47
45  277170000109194.125  0.171634614  0.099743106  0.147313   467.48
46  265329999986004.375  0.598973978  0.443140999  0.116736   751.66
47  271379999919039.531  0.820437795  0.731757825  0.107882   791.75
48  262589999886840.312  0.327357271  0.133783519  0.101930   754.80
49  268409999961087.062  0.778108517  1.007352714  0.066477   724.06
50  264140000301196.469  0.121945073  0.341352211  0.084864   826.73
51  262409999851944.500  0.857136257  0.362477781  0.051576   712.89
52  261860000276358.594  0.454318036  0.404875912  0.144235   697.96
53  263600000047359.531  0.408905773  0.489686749  0.137321   806.47
54  203150000157904.938  0.098817907  0.725527628  0.136799   717.76
55  243850000040660.156  0.990464297  0.875785833  0.136713   723.86
56  228789999839855.156  0.604955292  0.081842136  0.072749   697.22
57  253110000100902.594  0.670197287  0.580826499  0.141204   665.43
58  240289999770003.219  0.069888062  0.627123853  0.146550   610.83
59  249449999841930.344  0.038896390  0.406668732  0.130645   654.69
60  249449999841930.344  0.987591974  0.147810678  0.131491   632.95
61  215389999870201.562  0.295016512  0.378979502  0.126915   746.39
62  239019999965834.375  0.739966283  0.254204291  0.075793   673.21
63  189479999975602.781  0.540732568  0.265798897  0.146099   624.61
64  196829999783831.969  0.605101986  0.465193968  0.117910   619.25
65  230400000132005.938  0.123545540  0.153809078  0.116414   634.01
66  251640000282196.438  0.531803027  0.956974885  0.139296   802.34
67  221589999751138.844  0.209629856  0.536836644  0.071547   590.59
68  237620000248823.438  0.931889878  0.738125746  0.128624   614.13
69  225250000180958.938  0.011720148  0.023133868  0.135122   589.66
70  223099999854190.406  0.156815896  0.552094121  0.061777   665.11
71  228969999926590.688  0.492400300  0.129957862  0.102127   614.53
72  194170000172730.625  0.739434883  0.706792234  0.144113   638.07
73  221629999767137.031  0.173934871  0.093267847  0.133246   720.78
74  208890000050387.312  0.610475838  0.955932225  0.130005   648.11
75  205549999944922.938  0.680674830  0.383414785  0.111941   555.05
76  224629999943228.406  0.932764096  0.615066769  0.115970   671.76
77  201640000108591.812  0.974662226  0.470828920  0.048132   624.84
78  218100000211573.750  0.911401301  0.845418570  0.090550   808.23
79  202569999955013.000  0.153330404  0.726694782  0.092074   717.36
80  192069999833271.906  0.569348812  0.450417050  0.060254   644.90
81  204470000005740.844  0.578200947  0.986625742  0.091973   724.87
