# halo-id  m200  ra  dec  z  vdisp
1  906069999703932.875  0.866276721  0.428626684  0.081189   951.16
2  965470001078600.250  0.203500155  0.037628950  0.144739   955.71
3  741129999469325.750  0.309912879  0.970279146  0.138930   924.71
4  480110000229834.375  0.776369575  0.462074174  0.082692   804.49
5  445789999874825.812  0.162842535  0.065374100  0.147555   761.34
6  416930000284487.438  0.292515437  0.208826900  0.098324   923.93
7  430539999523944.500  0.720484133  0.691534356  0.109908   906.42
8  353839999705429.875  0.000563471  0.638567104  0.134015   681.50
9  350539999737053.812  0.750285630  0.100908305  0.130027   755.85
10  366520000090322.625  0.529665540  0.782588183  0.146342   752.63
11  356769999690113.562  0.705537133  0.474486956  0.053571   848.14
12  337590000318668.312  0.190267068  0.894142648  0.083363   812.79
13  350580000247087.375  0.623534583  0.392103924  0.114442   816.67
14  334549999834032.500  0.633968162  0.011390891  0.047602   765.33
15  360709999605206.188  0.772861463  0.463856155  0.087012   961.55
16  351250000070253.812  0.651571552  0.082355106  0.111237   804.73
17  337380000083086.000  0.094131715  0.699662355  0.082484   697.95
18  338540000102194.312  0.759919847  0.721559255  0.134177   731.87
19  286830000057421.438  0.785647745  0.053211075  0.116666   617.23
20  284500000176159.562  0.443482927  0.299681759  0.132886   716.62
21  289539999957088.312  0.173763235  0.141143555  0.083648   619.84
22  289260000088816.375  0.146328754  0.092475049  0.146915   644.26
23  266740000100693.812  0.608276915  0.873973623  0.088964   781.67
24  266740000100693.812  0.060325735  0.054253211  0.091966   614.72
25  270250000233136.062  0.817934591  0.180852762  0.086661   650.71
26  270289999830055.000  0.970361176  0.907560739  0.038186   621.71
27  292009999803368.188  0.298892870  1.029852469  0.076710   734.14
28  328689999702866.688  0.664157122  0.620776963  0.138176   708.25
29  291370000024200.938  0.277851181  0.125180424  0.130192   551.80
30  307730000115596.938  1.001480397  0.922544391  0.098014   739.73
31  280969999695327.938  0.860000517  0.401699745  0.081088   738.12
32  277440000130247.031  0.716742147  0.452987990  0.081764   713.86
33  283620000204696.062  0.737783836  0.575899312  0.108189   707.64
34  282589999723737.188  0.206456743  0.043605306  0.144934   663.86
35  292880000085325.938  0.218768295  0.622990041  0.127662   766.10
